,h3_9,age_20,age_20_30,age_30_40,age_40_60,age_60,male,female,car_owners,carsharing_user,not_citizen_rf,public_trnsprt_user,healthy_food_inter,salary_1,salary_2,salary_3,salary_4,salary_5
10442,891181852bbffff,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
10443,89110679c23ffff,0,0,0,4,2,1,5,3,0,0,0,0,2,0,0,0,3
10444,891106ce9afffff,0,10,1,4,0,14,1,9,9,14,1,0,2,1,0,11,0
10445,89111e0abb3ffff,0,0,0,1,14,1,14,1,0,0,0,0,0,0,1,0,0
10446,8911060752fffff,0,45,53,104,5,152,55,45,3,131,1,0,84,6,43,6,0
10447,89110e0607bffff,0,0,1,2,0,2,4,1,0,1,0,0,0,1,1,0,1
10448,89110611123ffff,0,0,7,0,0,0,7,2,0,7,0,0,0,0,2,0,0
10449,891102975a7ffff,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
10450,8911046954bffff,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
10451,89110606183ffff,0,47,79,134,62,179,152,123,48,204,10,5,75,92,42,18,51
10452,891106b2d4bffff,0,4,7,2,0,3,10,5,0,9,0,0,1,2,4,0,0
10453,8911061323bffff,0,1,27,87,16,21,113,7,2,79,2,2,78,9,9,1,6
10454,8911aa7ae87ffff,0,0,6,2,0,8,0,2,0,2,0,0,2,6,0,0,0
10455,891100da297ffff,0,12,38,85,22,152,13,54,15,99,0,0,76,42,15,9,2
10456,8911aa78017ffff,0,15,0,42,0,15,42,42,42,57,0,0,0,0,42,0,0
10457,89110600a57ffff,0,0,0,3,1,4,0,3,0,3,0,0,1,0,0,0,3
10458,89110605c23ffff,8,67,308,163,89,468,263,334,65,257,0,0,189,105,121,48,75
10459,8911063240bffff,0,1,2,27,0,6,24,25,24,6,0,0,5,0,24,0,0
10460,8910494f487ffff,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
10461,8911060324fffff,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
10462,89110612c9bffff,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10463,8911aa7a11bffff,0,1,3,0,0,4,2,1,0,4,0,0,0,2,1,0,0
10464,891160c3123ffff,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,0
10465,891106a8607ffff,0,19,215,82,118,152,282,137,131,278,0,0,87,165,45,18,7
10466,8911062a387ffff,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
10467,89110604293ffff,0,22,65,110,9,220,72,72,23,128,0,0,9,7,91,25,16
10468,892d7288b03ffff,0,0,0,8,0,1,7,7,0,7,0,0,7,0,0,0,0
10469,891106759a3ffff,0,13,1,0,0,14,0,14,14,13,0,0,13,0,0,0,1
10470,89110604b53ffff,0,0,0,0,0,5,0,4,4,0,0,0,0,0,4,0,0
10471,8911060e12bffff,0,57,24,122,67,198,139,88,56,184,38,0,107,46,4,11,45
10472,8910dea92c3ffff,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0
10473,892d569580bffff,0,3,6,8,4,6,15,2,2,17,0,0,4,3,0,2,0
10474,8911068d2bbffff,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
10475,8911ae75c6bffff,0,0,0,1,0,21,0,1,0,0,0,0,0,0,1,0,0
10476,891106d2cc7ffff,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
10477,89110602c93ffff,0,8,12,24,9,43,25,18,1,40,0,0,22,9,5,6,6
10478,892d7288b97ffff,0,0,0,3,1,1,3,0,0,4,0,0,4,0,0,0,0
10479,89110604c4fffff,0,15,1,5,5,20,6,8,7,9,0,0,5,2,0,6,2
10480,892d70521b3ffff,0,0,0,4,4,0,8,4,0,0,0,0,4,4,0,0,0
10481,891106cc16bffff,0,1,1,1,0,1,2,0,1,2,0,0,1,0,1,0,0
10482,8911060556fffff,0,0,2,7,28,4,33,1,3,4,0,0,1,4,2,28,0
10483,892d48b8b33ffff,0,2,1,1,13,16,1,2,0,3,0,0,16,1,0,0,0
10484,891106a9b77ffff,0,6,11,22,5,34,12,19,12,26,1,0,8,19,8,1,10
10485,8921453247bffff,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
10486,892d728a2cfffff,0,0,0,4,0,0,4,4,0,4,0,0,0,0,0,4,0
10487,891106ab1d7ffff,27,71,80,174,118,284,230,134,15,205,0,0,174,73,39,12,16
10488,89110688b93ffff,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,1,1
10489,89110607203ffff,15,66,337,76,41,245,367,239,216,220,0,2,180,32,213,21,17
10490,891111481b3ffff,0,0,6,0,1,7,0,0,0,0,0,0,1,6,0,0,0
10491,891106775abffff,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0
10492,89161604543ffff,0,13,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0
10493,89118e9140fffff,0,0,0,43,0,43,0,0,0,43,0,0,43,0,0,0,0
10494,892d469a847ffff,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
10495,890b02cc90bffff,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
10496,891103520afffff,0,0,1,1,0,3,0,1,1,1,0,0,0,1,0,0,1
10497,8911060632bffff,0,1,2,2,0,4,1,0,0,4,0,0,2,1,1,0,0
10498,890b9a7622fffff,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
10499,8911aa7a107ffff,1,0,8,0,2,6,6,5,0,8,0,0,1,4,0,3,3
10500,8911aa6a383ffff,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0
10501,891106a828fffff,4,73,130,199,168,306,289,206,60,243,20,53,95,195,132,44,60
10502,892d762d063ffff,0,0,2,2,2,3,3,1,1,4,0,0,3,1,2,0,0
10503,891160ce013ffff,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
10504,891106a12d7ffff,0,1,0,2,0,2,1,0,0,2,0,0,1,0,1,0,0
10505,8911049905bffff,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
10506,892d7338033ffff,0,0,4,2,0,2,4,0,0,2,0,0,2,0,0,0,0
10507,8911068e64bffff,0,23,3,1,0,27,1,25,23,26,0,0,1,0,0,2,24
10508,8910b39622bffff,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
10509,89110606043ffff,0,38,9,15,24,17,71,17,7,51,3,4,60,2,10,0,14
10510,891106060bbffff,2,1,17,71,6,80,42,35,7,88,0,0,36,4,29,1,6
10511,8911043ab3bffff,2,1,3,1,1,5,19,5,2,5,0,0,3,0,3,1,0
10512,89108201a47ffff,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10513,8911063a237ffff,0,1,2,1,0,2,2,1,0,3,0,0,2,1,0,0,0
10514,89110425397ffff,0,0,3,11,3,8,9,5,0,5,2,0,11,1,0,1,1
10515,891106a81a7ffff,0,14,9,17,14,30,25,23,0,28,0,0,1,13,28,6,2
10516,890b220a157ffff,0,0,0,2,3,2,3,5,0,2,0,0,0,3,0,2,0
10517,8911060dc37ffff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10518,89118c5b577ffff,0,0,0,3,0,2,1,0,0,2,0,0,1,2,0,0,0
10519,89110605103ffff,1,0,41,11,13,50,18,8,3,9,0,0,16,5,23,0,2
10520,89119ea5a87ffff,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10521,8911aa6b1c3ffff,0,0,3,3,0,6,0,3,0,6,0,0,3,0,0,0,0
10522,891f73cda8bffff,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
10523,89110669d8fffff,0,0,0,2,0,1,1,2,1,1,0,0,0,0,0,1,1
10524,8911063a673ffff,0,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0
10525,89118e45037ffff,0,15,0,0,0,15,0,0,0,15,0,0,0,0,0,0,15
10526,8911060282bffff,0,2,4,12,6,14,17,7,2,6,0,0,16,4,0,0,1
10527,891104d442fffff,0,0,1,1,0,1,1,0,1,2,0,0,0,1,0,1,0
10528,8911060b263ffff,0,0,2,0,2,4,1,0,0,2,0,0,3,1,1,0,0
10529,8911049b517ffff,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
10530,891131284afffff,0,15,206,292,21,322,283,166,16,359,4,4,93,202,60,117,41
10531,891106c4d6fffff,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0
10532,891106ae1c3ffff,1,17,9,27,10,60,6,5,11,58,0,2,33,13,3,6,2
10533,891115b6a87ffff,0,0,3,6,1,6,4,4,2,6,0,0,4,2,0,1,1
10534,891106169c3ffff,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10535,8911338caabffff,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1
10536,8911060722fffff,0,114,156,156,39,333,189,158,26,172,20,0,155,45,32,77,99
10537,891106d1453ffff,0,0,24,51,9,36,48,18,15,47,0,0,40,32,1,1,0
10538,891106ad017ffff,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10539,89110614b37ffff,26,63,327,232,131,640,292,170,116,341,5,61,255,211,144,45,11
10540,89113142a53ffff,0,10,33,14,16,57,16,28,15,40,6,0,19,16,3,14,15
10541,891106ad89bffff,0,0,4,1,0,1,4,3,2,5,0,0,0,1,1,0,2
10542,891181b5173ffff,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0
10543,89110614cafffff,0,1,2,2,0,3,2,4,2,1,1,0,0,0,1,4,0
10544,8910f1ad06bffff,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10545,89110600d8fffff,12,102,314,304,126,513,496,313,111,447,8,7,286,244,172,59,169
10546,8911aa716bbffff,0,3,24,0,0,26,1,1,0,26,0,0,0,0,0,1,0
10547,89110667377ffff,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
10548,8911060f627ffff,0,13,1,3,0,1,16,14,1,16,0,0,15,2,0,0,0
10549,890b11a8cafffff,0,0,2,0,0,2,0,2,2,2,0,0,0,0,0,0,2
10550,8911063a04fffff,0,1,3,7,1,8,6,6,5,9,1,0,7,5,2,0,0
10551,891106042cfffff,0,0,9,7,3,15,5,9,0,11,0,0,6,0,6,3,0
10552,89110230b17ffff,0,0,0,2,2,2,2,0,0,2,0,0,4,0,0,0,0
10553,8920601584fffff,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0
10554,891106a9a47ffff,0,0,53,4,0,55,2,50,0,51,0,0,43,2,2,1,6
10555,89110605123ffff,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
10556,89110681927ffff,0,28,71,125,42,97,237,50,36,146,0,0,197,41,51,30,0
10557,890b0638177ffff,0,0,0,9,0,0,9,9,9,0,9,0,0,0,0,9,0
10558,891106ab113ffff,23,8,112,184,62,158,266,110,32,223,11,0,196,23,75,11,28
10559,8911048118bffff,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
10560,892d45ba8bbffff,0,0,0,2,1,1,3,1,0,2,0,0,1,1,1,0,0
10561,89110672c0bffff,0,2,13,38,7,40,22,22,1,19,2,3,11,15,9,0,2
10562,891106a9ad7ffff,0,138,78,138,46,317,167,54,27,261,1,0,107,20,90,7,20
10563,8910a81117bffff,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
10564,890b118ee2bffff,0,0,25,0,0,25,2,25,25,25,0,0,0,0,0,25,0
10565,8911060ddd3ffff,0,0,1,1,0,2,0,1,0,1,0,0,1,1,0,0,0
10566,8911060658fffff,0,8,146,32,90,166,112,130,32,90,3,0,46,64,32,8,68
10567,8911062e173ffff,0,0,2,0,1,2,1,3,0,2,0,0,0,1,1,0,1
10568,891106a9553ffff,3,6,82,118,77,159,165,132,24,133,3,2,44,118,47,31,52
10569,8911020404bffff,0,10,109,92,132,183,162,98,7,99,36,2,93,56,25,19,68
10570,89110605843ffff,0,0,1,4,0,4,1,1,0,4,0,0,2,0,1,0,0
10571,891106532abffff,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
10572,89110664447ffff,0,0,0,2,0,0,2,2,2,0,0,2,0,0,0,0,2
10573,8910f625b07ffff,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
10574,89110614e6fffff,1,18,54,44,3,81,47,80,60,70,7,0,36,11,44,12,13
10575,891106c026fffff,0,2,0,1,0,0,5,0,1,2,1,0,0,0,2,0,1
10576,8911060728bffff,0,2,4,4,6,10,6,10,0,5,0,0,2,6,0,4,1
10577,892141996a7ffff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10578,89111a3828bffff,0,2,3,0,0,5,0,2,0,2,1,0,3,0,2,0,0
10579,891188b6457ffff,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
10580,8911aa7ae3bffff,0,0,3,2,0,3,2,0,0,4,0,0,4,0,0,0,0
10581,8911aa6ad27ffff,0,44,0,0,0,0,44,44,44,0,0,0,0,44,0,0,0
10582,892d54d8b2bffff,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0
10583,8911022346bffff,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
10584,8911061aec7ffff,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10585,8911060652bffff,0,18,216,104,62,148,288,169,8,317,2,3,26,94,22,22,40
10586,8911060ad7bffff,0,3,4,19,6,11,21,12,10,21,2,0,10,1,4,0,12
10587,891104b2edbffff,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
10588,891106a860bffff,0,0,6,11,1,15,3,9,3,11,0,0,3,9,1,2,0
10589,8910d9a4557ffff,0,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2
10590,891106a90a7ffff,1,45,176,115,146,330,267,136,61,329,3,3,230,44,48,24,57
10591,8911044d373ffff,1,12,55,69,0,50,121,81,64,17,0,0,5,5,15,59,7
10592,89118cdb373ffff,0,0,0,26,3,24,5,5,0,8,0,0,2,3,0,0,0
10593,8911aa4c543ffff,0,4,0,2,0,6,0,2,0,6,0,0,0,0,0,0,2
10594,8910e31b677ffff,0,0,14,0,0,0,14,14,0,0,0,0,0,0,14,0,0
10595,89110614c2fffff,0,1,56,26,8,117,8,11,9,20,1,0,19,20,4,44,6
10596,89110425e8bffff,0,1,7,6,0,7,8,5,2,13,0,0,10,0,1,3,1
10597,891106a0043ffff,0,1,4,4,0,8,1,8,0,9,0,0,0,1,7,0,1
10598,89110615e2fffff,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,0
10599,89113371897ffff,12,1,5,3,7,17,12,4,1,17,0,0,2,4,6,13,0
10600,8911061ac57ffff,41,3,37,262,76,207,212,208,8,165,142,4,196,52,6,151,1
10601,89110604b6fffff,0,124,189,185,164,362,316,351,154,339,21,21,164,57,80,97,36
10602,891106a92dbffff,0,0,2,4,5,6,5,2,2,7,0,0,2,5,1,0,1
10603,891104d4597ffff,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
10604,8911061598fffff,0,9,57,57,4,75,53,14,40,78,4,5,24,27,15,37,4
10605,891165a1a57ffff,0,26,0,1,0,27,0,27,26,27,0,0,27,0,0,0,0
10606,8911aa6a40fffff,0,3,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0
10607,892d54cb127ffff,0,0,0,3,48,0,51,0,0,0,3,0,3,48,0,0,0
10608,891106b8b2fffff,0,0,0,3,0,1,2,0,0,3,0,2,0,0,3,0,0
10609,89110600c37ffff,0,2,2,3,8,10,8,12,2,9,0,0,8,1,3,2,1
10610,89110631eabffff,0,6,11,41,0,18,42,18,6,48,0,0,10,27,8,3,3
10611,89103496e27ffff,0,0,0,0,5,1,4,0,0,1,0,0,0,0,0,0,0
10612,891106a9ac7ffff,0,0,12,9,8,12,17,5,3,17,0,2,12,6,2,2,0
10613,8911068558bffff,0,0,3,5,4,5,8,3,1,9,0,0,1,8,0,2,2
10614,891165a1a0fffff,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
10615,891106a9d3bffff,0,47,32,59,33,188,53,46,15,38,1,0,51,7,14,49,46
10616,891099cdd3bffff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10617,89110615dabffff,0,46,40,17,86,106,91,83,13,40,1,0,22,3,72,73,2
10618,89110605b27ffff,3,90,317,78,9,319,272,357,25,324,3,1,93,188,150,35,44
10619,8911062e003ffff,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
10620,89110614c77ffff,2,0,6,17,3,10,21,16,1,22,3,2,6,9,8,5,0
10621,8911839344fffff,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
10622,89110609dafffff,0,3,14,15,1,11,24,4,3,27,0,0,1,3,1,2,2
10623,891181b5167ffff,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
10624,8911068f54fffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10625,8911aa722a7ffff,0,0,0,0,4,0,4,0,0,3,0,0,4,0,0,0,0
10626,89111cc74b3ffff,0,1,8,0,0,13,0,9,0,9,0,0,8,0,0,0,2
10627,891085603d7ffff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10628,8911a8c708fffff,0,0,9,13,0,0,22,12,1,9,0,0,21,0,1,0,0
10629,89110604593ffff,0,5,26,10,3,30,15,8,5,36,2,1,26,2,7,1,4
10630,89110601e9bffff,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,0
10631,8910ab21dafffff,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,5,0
10632,891104c91d3ffff,0,0,1,3,0,3,1,0,0,3,0,0,4,0,0,0,0
10633,891106aa25bffff,59,99,180,197,16,338,265,193,130,348,22,33,217,121,95,33,73
10634,891106b0c67ffff,0,0,0,3,0,3,0,3,0,3,0,0,0,3,0,0,0
10635,89110600da7ffff,0,1,11,26,6,22,24,14,8,36,0,0,19,5,5,14,0
10636,891106a8a5bffff,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
10637,89110614a6bffff,0,1,3,3,1,6,2,3,2,7,0,0,0,1,3,1,2
10638,891106aae6bffff,1,1,7,5,2,12,6,7,2,5,0,0,4,2,5,2,1
10639,891188849a3ffff,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10640,8911060537bffff,0,4,11,13,15,33,12,10,7,37,0,0,22,1,8,1,0
10641,891130205afffff,0,2,78,521,121,436,306,126,23,518,26,0,252,162,20,46,69
10642,8911061555bffff,0,30,134,242,96,167,362,242,130,345,18,0,40,143,50,132,66
10643,891106071afffff,0,1,0,13,2,2,14,0,0,13,0,0,0,13,0,1,0
10644,89110610b37ffff,11,6,9,29,2,48,14,20,0,43,18,1,5,3,18,17,7
10645,891106060a3ffff,1,38,13,54,52,71,92,45,18,82,20,0,81,37,26,5,1
10646,8911060746bffff,0,12,69,90,38,146,71,32,3,113,2,0,56,64,29,47,3
10647,89110483523ffff,0,0,9,2,0,3,8,2,0,11,0,8,10,0,0,0,0
10648,892d729229bffff,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
10649,890b09204d7ffff,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10650,89110615827ffff,1,11,84,77,16,141,88,92,12,135,0,0,44,53,37,30,18
10651,8910d14b0a7ffff,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
10652,89110223453ffff,0,0,0,2,0,2,1,1,0,0,0,0,1,0,0,0,0
10653,8911060d39bffff,3,80,169,216,118,425,216,204,86,267,1,1,243,59,43,35,66
10654,891106d150fffff,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
10655,89110614bc3ffff,0,0,2,8,5,5,10,4,0,8,1,0,7,2,3,1,1
10656,8911aa44a0fffff,0,0,1,1,0,2,0,1,0,1,1,1,0,0,0,1,0
10657,891106af6c3ffff,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
10658,89110610a63ffff,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0
10659,891008a9337ffff,0,0,35,0,0,35,0,35,0,35,0,0,0,0,35,0,0
10660,8911061a187ffff,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
10661,8911aa784d7ffff,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
10662,89111542ed7ffff,0,1,2,28,0,3,28,1,0,1,0,0,3,0,0,28,0
10663,8911937a14bffff,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
10664,891106aa21bffff,1,5,5,9,7,17,12,8,5,18,1,1,11,4,3,3,0
10665,89113140553ffff,0,1,6,14,22,18,32,16,1,39,0,0,20,23,0,3,0
10666,89110604e17ffff,0,57,201,490,47,530,341,140,109,228,125,0,374,102,75,30,14
10667,8911aa7abc7ffff,3,0,4,1,1,5,4,4,0,6,0,0,4,2,0,2,0
10668,892d48b8ba3ffff,0,62,1,0,0,63,0,62,0,63,0,0,63,0,0,0,0
10669,89113212377ffff,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
10670,89110604683ffff,0,0,0,2,1,1,2,0,0,2,0,0,1,1,1,0,0
10671,891106a98cbffff,0,2,71,37,11,65,63,81,9,14,0,0,42,11,9,2,57
10672,89110667267ffff,0,35,38,125,50,87,203,151,39,176,12,0,158,5,6,31,20
10673,89110607363ffff,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
10674,8911528a597ffff,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0
10675,891106ab06fffff,0,0,14,15,1,15,15,15,0,17,0,0,1,14,10,3,0
10676,8911aa74027ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10677,89110642043ffff,8,5,113,155,24,103,224,58,23,176,0,5,84,57,25,23,6
10678,89110654907ffff,0,30,69,443,147,287,444,280,2,375,106,106,257,32,177,59,107
10679,89110602c63ffff,0,125,59,102,108,277,129,148,7,204,23,21,156,52,16,44,57
10680,89110614e0bffff,0,0,3,2,0,6,1,2,2,2,0,0,0,0,1,0,1
10681,89110606e73ffff,0,0,2,10,1,3,11,1,2,0,0,0,0,9,1,0,3
10682,891106a9283ffff,0,0,4,1,0,3,2,4,1,1,0,1,0,3,0,2,0
10683,8911019a5c7ffff,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
10684,89110615367ffff,0,124,94,469,93,382,443,241,60,514,10,30,262,220,60,54,39
10685,891106ae63bffff,0,0,0,3,0,1,2,0,0,2,0,0,2,0,1,0,0
10686,8911063156bffff,13,8,1,6,6,23,11,11,9,15,0,0,2,16,9,0,0
10687,8911060ae67ffff,0,7,17,175,32,148,99,120,17,120,1,1,60,99,14,48,2
10688,89118e569afffff,0,2,1,0,0,1,2,2,1,0,0,1,2,0,0,1,0
10689,891106cc14fffff,0,0,13,2,1,1,15,12,13,14,0,0,2,0,13,1,0
10690,8911060dc47ffff,0,0,5,15,1,9,14,2,1,10,0,0,6,5,2,1,5
10691,891106153a3ffff,10,1,28,46,23,67,58,29,17,70,0,0,63,26,2,1,0
10692,892d6263157ffff,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
10693,8910c2299c7ffff,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
10694,8911a4ad517ffff,0,6,2,1,0,8,1,6,0,7,0,0,0,0,0,0,6
10695,892d54c868fffff,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
10696,891106ab353ffff,1,3,12,15,1,17,17,8,2,21,3,0,11,6,3,2,7
10697,891106152b7ffff,0,0,9,6,2,11,6,7,7,1,0,0,5,0,9,0,0
10698,8925716e133ffff,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
10699,891735c257bffff,0,0,4,0,0,0,4,4,4,4,0,0,4,0,0,0,0
10700,891106aaa4bffff,0,51,358,253,146,563,374,162,112,365,0,2,194,118,188,182,4
10701,89110674913ffff,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0
10702,89118520eabffff,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
10703,8911aa71243ffff,0,2,0,0,0,2,1,1,1,1,0,0,1,1,0,0,1
10704,8911312f267ffff,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
10705,891106ab133ffff,5,78,149,137,4,217,159,131,19,178,0,0,102,43,77,48,3
10706,890b9a74c37ffff,8,3,0,2,0,2,11,8,9,9,0,8,2,0,1,2,8
10707,891106296abffff,0,25,20,29,27,59,58,56,3,69,0,1,49,7,32,2,27
10708,89101673027ffff,0,0,0,0,8,8,0,0,0,0,0,0,8,0,0,0,0
10709,891185c0b0bffff,0,0,0,0,15,15,0,15,0,15,0,0,15,0,0,0,0
10710,892d440edbbffff,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
10711,890b9a76a37ffff,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0
10712,89110602d7bffff,0,162,166,169,143,398,262,401,176,240,22,8,226,86,105,84,104
10713,89118e4668bffff,0,7,0,0,0,7,0,0,0,7,0,0,0,0,0,0,7
10714,891106a9387ffff,0,19,77,91,24,138,74,39,18,132,0,0,82,61,0,18,40
10715,8911060ec2fffff,0,0,0,7,2,9,1,0,0,8,0,0,3,0,0,0,0
10716,89118e4645bffff,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10717,8911314082bffff,1,1,17,28,19,20,46,23,6,20,1,0,45,3,1,12,0
10718,891106a916fffff,0,1,16,26,1,20,31,8,4,29,2,2,12,24,3,3,1
10719,891106a8ad7ffff,0,1,28,81,5,56,65,38,15,69,0,1,21,11,27,1,3
10720,89113145567ffff,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,3,0
10721,891102d74bbffff,0,0,38,54,1,81,12,9,4,83,0,0,18,2,3,0,0
10722,89110605117ffff,8,34,128,154,121,279,227,122,110,192,15,0,74,43,46,184,20
10723,89108086c67ffff,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0
10724,8910a2c692bffff,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0
10725,8911060755bffff,0,0,2,0,2,0,4,1,0,1,1,0,1,0,3,0,0
10726,89110425023ffff,0,0,1,2,0,3,0,2,0,2,1,0,2,1,0,0,0
10727,89316c0868fffff,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
10728,8911334cd6bffff,0,0,0,5,0,3,3,0,0,3,0,0,0,0,0,0,0
10729,891085b0243ffff,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
10730,891106cd1d3ffff,0,0,1,2,0,4,1,1,1,3,0,0,0,0,0,1,0
10731,89110614ba3ffff,5,42,89,142,25,183,133,154,24,207,1,0,78,68,43,18,59
10732,89110605437ffff,0,0,4,1,0,3,2,0,0,1,0,0,0,0,1,0,0
10733,890b9a76157ffff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10734,891115add5bffff,0,5,47,138,98,135,182,77,0,151,0,0,65,14,16,172,2
10735,8911aa61c2bffff,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
10736,8911060eccfffff,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
10737,891106a016fffff,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0
10738,89113022ad3ffff,0,3,101,209,101,378,246,190,106,157,13,0,193,90,44,2,111
10739,89110631dd3ffff,4,14,223,60,0,107,194,134,101,277,0,0,59,102,47,30,0
10740,891102c8373ffff,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0
10741,8910a299c43ffff,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
10742,891115d6a3bffff,0,0,0,17,1,5,13,0,11,11,0,0,0,0,0,11,4
